orig_sciname,valid_name,aphia_id,taxonkey,taxon_name,common_name,descript,tax_level,worms_name,comments
clupeoids,clupeoides,268802,100035,Clupeoids,Herrings sardines anchovies,pelagic <30 cm,1,clupeidae,genus match fixed to family match
scombroids,scomberoides,204103,100036,Scombroids,Tunas bonitos billfishes,pelagic >=90 cm,1,scombridae,genus match fixed to family match
scombroids,scombrops,205444,100036,Scombroids,Tunas bonitos billfishes,pelagic >=90 cm,1,,incorrect match; drop
crustacea,crustacea,1066,290022,Crustacea,Crustaceans,lobsters crab,2,decapoda,replace crustacea with decapoda
teuthida,teuthida,11716,390002,Teuthida,Squids,cephalopods,3,myopsida;oegopsida,teuthida is nomen dubium and contains Myopsida + Oegopsida
inermiidae,haemulinae,714648,400479,Inermiidae,Bonnetmouths,pelagic <30 cm,4,haemulidae,swap haemulinae (subfamily) with haemulidae
brachyura,brachyura,106673,490097,Brachyura,Marine crabs,lobsters crab,4,decapoda,brachyura is infraorder so assign to order decapoda
aspitrigla cuculus,chelidonichthys cuculus,127259,600044,Aspitrigla cuculus,East Atlantic red gurnard,demersal 30 - 90 cm,6,chelidonichthys cuculus,
rhinobatos percellens,pseudobatos percellens,1043607,600140,Rhinobatos percellens,Chola guitarfish,rays >=90 cm,6,pseudobatos percellens,
marine animals,no match,NA,100000,Marine animals,Marine animals,demersal <30 cm,1,NA,so vague it is not worth keeping
miscellaneous diadromous,no match,NA,100025,Miscellaneous diadromous fishes,Diadromous fishes,demersal >=90 cm,1,actinopterygii,replace general marine fishes with actinopterygii - can we get more specific?
sharks rays,no match,NA,100038,Sharks rays chimaeras,Sharks rays skates etc,rays <90 cm,1,elasmobranchii,replace sharks-rays-skates with elasmobranchii
sharks rays,no match,NA,100338,Sharks rays chimaeras,Cartilaginous fishes,rays <90 cm,1,elasmobranchii,replace sharks-rays-skates with elasmobranchii
sharks rays,no match,NA,100538,Sharks rays chimaeras,Various sharks,rays <90 cm,1,elasmobranchii,replace sharks-rays-skates with elasmobranchii
marine fishes,no match,NA,100039,Marine fishes not identified,Marine fishes,demersal <30 cm,1,actinopterygii,replace general marine fishes with actinopterygii
marine fishes,no match,NA,100139,Marine fishes not identified,Finfishes,demersal <30 cm,1,actinopterygii,replace general marine fishes with actinopterygii
marine fishes,no match,NA,100339,Marine fishes not identified,Pelagic fishes,demersal <30 cm,1,actinopterygii,replace general marine fishes with actinopterygii
homaridae,no match,NA,100043,Homaridae/Palinuridae,Lobsters spiny-rock lobsters,lobsters crab,1,palinuridae,palinuridae already covered
king crabs,no match,NA,100044,King crabs squat-lobsters,Craylets squat lobsters,lobsters crab,1,decapoda,replace with decapoda
miscellaneous marine,no match,NA,100047,Miscellaneous marine crustaceans,Marine crustaceans,lobsters crab,1,decapoda,replace with decapoda
miscellaneous marine,no match,NA,100058,Miscellaneous marine molluscs,Marine molluscs,demersal mollusc,1,mollusca,fill with generic mollusca
clams cockles,no match,NA,100056,Clams cockles arkshells,Clams cockles arkshells,demersal mollusc,1,bivalvia,fill with bivalvia
starfish and,no match,NA,100176,Starfish and other echinoderms,Starfishes,demersal mollusc,1,asteroidea,swap with Asteroidea
sea-urchins and,no match,NA,100276,Sea-urchins and other echinoderms,Sea urchins,demersal mollusc,1,echinoidea,fill with Echinoidea
shrimps prawns,no match,NA,100345,Shrimps prawns,Natantian decapods,shrimp,1,decapoda,fill with decapoda
macroramphosidae,no match,NA,400595,Macroramphosidae,Snipefishes,benthopelagic <30 cm,4,centriscidae,https://en.wikipedia.org/wiki/Macroramphosidae
rhinobatos planiceps,pseudobatos planiceps,1043480,600149,Rhinobatos planiceps,Pacific guitarfish,rays <90 cm,6,pseudobatos planiceps,match
pseudopentaceros richardsoni,pentaceros richardsoni,313240,603611,Pseudopentaceros richardsoni,Pelagic armorhead,pelagic 30 - 90 cm,6,pentaceros richardsoni,match
dasyatis centroura,bathytoshia centroura,1017389,602572,Dasyatis centroura,Roughtail stingray,rays >=90 cm,6,bathytoshia centroura,match
alectis alexandrinus,alectis alexandrina,401555,601888,Alectis alexandrinus,African threadfish,pelagic 30 - 90 cm,6,alectis alexandrina,match
liza saliens,chelon saliens,1042832,601736,Liza saliens,Leaping mullet,demersal 30 - 90 cm,6,chelon saliens,match
liza aurata,chelon auratus,1044127,601735,Liza aurata,Golden grey mullet,pelagic 30 - 90 cm,6,chelon auratus,match
psetta maxima,scophthalmus maximus,127149,601348,Psetta maxima,Turbot,flatfish >=90 cm,6,scophthalmus maximus,match
epinephelus niveatus,hyporthodus niveatus,475101,601208,Epinephelus niveatus,Snowy grouper,demersal >=90 cm,6,hyporthodus niveatus,match
epinephelus nigritus,hyporthodus nigritus,475100,601207,Epinephelus nigritus,Warsaw grouper,demersal >=90 cm,6,hyporthodus nigritus,match
epinephelus mystacinus,hyporthodus mystacinus,475099,601206,Epinephelus mystacinus,Misty grouper,bathydemersal >=90 cm,6,hyporthodus mystacinus,match
epinephelus flavolimbatus,hyporthodus flavolimbatus,475077,601205,Epinephelus flavolimbatus,Yellowedge grouper,demersal >=90 cm,6,hyporthodus flavolimbatus,match
dasyatis akajei,hemitrygon akajei,1042845,600940,Dasyatis akajei,Red stingray,rays >=90 cm,6,hemitrygon akajei,match
centroselachus crepidater,centroscymnus crepidater,105908,600663,Centroselachus crepidater,Longnose velvet dogfish,shark >=90 cm,6,centroscymnus crepidater,match
sebastes marinus,sebastes norvegicus,151324,600501,Sebastes marinus,Ocean perch,benthopelagic >=90 cm,6,sebastes norvegicus,match
pleuragramma antarcticum,pleuragramma antarctica,712788,600472,Pleuragramma antarcticum,Antarctic silverfish,pelagic <30 cm,6,pleuragramma antarctica,match
theragra chalcogramma,gadus chalcogrammus,300735,600318,Theragra chalcogramma,Alaska pollack,benthopelagic >=90 cm,6,gadus chalcogrammus,match
gadus ogac,gadus macrocephalus,254538,600309,Gadus ogac,Greenland cod,demersal 30 - 90 cm,6,gadus macrocephalus,match
pterothrissus belloci,nemoossis belloci,1043474,600229,Pterothrissus belloci,Longfin bonefish,bathydemersal 30 - 90 cm,6,nemoossis belloci,match
tetrapturus audax,kajikia audax,712907,600223,Tetrapturus audax,Striped marlin,pelagic >=90 cm,6,kajikia audax,match
tetrapturus albidus,kajikia albida,712906,600219,Tetrapturus albidus,Atlantic white marlin,pelagic >=90 cm,6,kajikia albida,match
makaira indica,istiompax indica,712905,600217,Makaira indica,Black marlin,pelagic >=90 cm,6,istiompax indica,match
cardium edule,cerastoderma edule,138998,690087,Cardium edule,Common edible cockle,demersal mollusc,6,cerastoderma edule,match
aulacomya ater,aulacomya atra,505963,690081,Aulacomya ater,Cholga mussel,demersal mollusc,6,aulacomya atra,match
melicertus kerathurus,penaeus kerathurus,246388,690070,Melicertus kerathurus,Caramote prawn,shrimp,6,penaeus kerathurus,match
litopenaeus stylirostris,penaeus stylirostris,584982,690054,Litopenaeus stylirostris,Blue shrimp,shrimp,6,penaeus stylirostris,match
anadara granosa,tegillarca granosa,504471,690050,Anadara granosa,Blood cockle,demersal mollusc,6,tegillarca granosa,match
fenneropenaeus merguiensis,penaeus merguiensis,210377,690042,Fenneropenaeus merguiensis,Banana prawn,shrimp,6,penaeus merguiensis,match
chelon haematocheilus,planiliza haematocheilus,1509599,657506,Chelon haematocheilus,So-iny (redlip) mullet,demersal 30 - 90 cm,6,planiliza haematocheilus,match
liza klunzingeri,planiliza klunzingeri,1509598,646376,Liza klunzingeri,Klunzingers mullet,demersal <30 cm,6,planiliza klunzingeri,match
himantura gerrardi,maculabatis gerrardi,1042867,615483,Himantura gerrardi,Sharpnose stingray,rays >=90 cm,6,maculabatis gerrardi,match
abudefduf luridus,similiparma lurida,889885,611820,Abudefduf luridus,Canary damsel,reef-associated <30 cm,6,similiparma lurida,match
arius thalassinus,netuma thalassina,281745,610220,Arius thalassinus,Giant seacatfish,demersal >=90 cm,6,netuma thalassina,match
lepidonotothen larseni,nototheniops larseni,313400,607048,Lepidonotothen larseni,Lepidonotothen larseni,benthopelagic <30 cm,6,nototheniops larseni,match
lepidonotothen nudifrons,lindbergichthys nudifrons,318861,607047,Lepidonotothen nudifrons,Gaudy notothen,demersal <30 cm,6,lindbergichthys nudifrons,match
lepidonotothen mizops,lindbergichthys mizops,318860,607046,Lepidonotothen mizops,Toad notothen,benthopelagic <30 cm,6,lindbergichthys mizops,match
dipturus linteus,rajella lintea,1019159,606422,Dipturus linteus,Sailray,rays >=90 cm,6,rajella lintea,match
scolopsis taeniatus,scolopsis taeniata,712735,605889,Scolopsis taeniatus,Black-streaked monocle bream,reef-associated <30 cm,6,scolopsis taeniata,match
valamugil seheli,crenimugil seheli,1043477,605659,Valamugil seheli,Bluespot mullet,reef-associated 30 - 90 cm,6,crenimugil seheli,match
trigloporus lastoviza,chelidonichthys lastoviza,127261,605081,Trigloporus lastoviza,Streaked gurnard,demersal 30 - 90 cm,6,chelidonichthys lastoviza,match
mugil soiuy,planiliza haematocheilus,1509599,604791,Mugil soiuy,So-iuy mullet,demersal 30 - 90 cm,6,planiliza haematocheilus,match
triglopsis quadricornis,myoxocephalus quadricornis,254529,604122,Triglopsis quadricornis,Fourhorn sculpin,demersal 30 - 90 cm,6,myoxocephalus quadricornis,match
loligo gahi,no match,-9999,690296,Loligo gahi,Patagonian squid,cephalopods,6,doryteuthis gahi,manual fix
protothaca staminea,no match,-9999,690285,Protothaca staminea,Pacific littleneck clam,demersal mollusc,6,leukoma staminea,manual fix
crassostrea gigas,no match,-9999,690283,Crassostrea gigas,Pacific cupped oyster,demersal mollusc,6,magallana gigas,manual fix
litopenaeus setiferus,no match,-9999,690272,Litopenaeus setiferus,Northern white shrimp,shrimp,6,penaeus setiferus,manual fix
farfantepenaeus duorarum,no match,-9999,690268,Farfantepenaeus duorarum,Northern pink shrimp,shrimp,6,penaeus duorarum,manual fix
farfantepenaeus aztecus,no match,-9999,690265,Farfantepenaeus aztecus,Northern brown shrimp,shrimp,6,penaeus aztecus,manual fix
ostrea lutaria,no match,-9999,690256,Ostrea lutaria,New Zealand dredge oyster,demersal mollusc,6,ostrea chilensis,manual fix
loligo pealeii,no match,-9999,690227,Loligo pealeii,Longfin squid,cephalopods,6,doryteuthis pealeii,manual fix
marsupenaeus japonicus,no match,-9999,690219,Marsupenaeus japonicus,Kuruma prawn,shrimp,6,penaeus japonicus,manual fix
mytilus coruscus,no match,-9999,690218,Mytilus coruscus,Korean mussel,demersal mollusc,6,mytilus unguiculatus,manual fix
ruditapes philippinarum,no match,-9999,690196,Ruditapes philippinarum,Japanese carpet shell,demersal mollusc,6,no match,drop it
fenneropenaeus indicus,no match,-9999,690189,Fenneropenaeus indicus,Indian white prawn,shrimp,6,penaeus indicus,manual fix
mactra sachalinensis,no match,-9999,690176,Mactra sachalinensis,Hen clam,demersal mollusc,6,spisula sachalinensis,manual fix
scapharca cornea,no match,-9999,690169,Scapharca cornea,Half-crenated ark,demersal mollusc,6,anadara cornea,manual fix
parapenaeopsis atlantica,no match,-9999,690168,Parapenaeopsis atlantica,Guinea shrimp,shrimp,6,holthuispenaeopsis atlantica,manual fix
microcosmus sulcatus,no match,-9999,690167,Microcosmus sulcatus,Grooved sea squirt,demersal mollusc,6,microcosmus vulgaris,manual fix
jasus verreauxi,no match,-9999,690161,Jasus verreauxi,Green rock lobster,lobsters crab,6,sagmariasus verreauxi,manual fix
fenneropenaeus chinensis,no match,-9999,690133,Fenneropenaeus chinensis,Fleshy prawn,shrimp,6,penaeus chinensis,manual fix
cancer magister,no match,-9999,690115,Cancer magister,Dungeness crab,lobsters crab,6,metacarcinus magister,manual fix
farfantepenaeus brevirostris,no match,-9999,690100,Farfantepenaeus brevirostris,Crystal shrimp,shrimp,6,penaeus brevirostris,manual fix
cardium edule,no match,-9999,690087,Cardium edule,Common edible cockle,demersal mollusc,6,cerastoderma edule,manual fix
aulacomya ater,no match,-9999,690081,Aulacomya ater,Cholga mussel,demersal mollusc,6,aulacomya atra,manual fix
melicertus kerathurus,no match,-9999,690070,Melicertus kerathurus,Caramote prawn,shrimp,6,penaeus kerathurus,manual fix
litopenaeus stylirostris,no match,-9999,690054,Litopenaeus stylirostris,Blue shrimp,shrimp,6,penaeus stylirostris,manual fix
anadara granosa,no match,-9999,690050,Anadara granosa,Blood cockle,demersal mollusc,6,tegillarca granosa,manual fix
fenneropenaeus merguiensis,no match,-9999,690042,Fenneropenaeus merguiensis,Banana prawn,shrimp,6,penaeus merguiensis,manual fix
chelon haematocheilus,no match,-9999,657506,Chelon haematocheilus,So-iny (redlip) mullet,demersal 30 - 90 cm,6,planiliza haematocheilus,manual fix
liza klunzingeri,no match,-9999,646376,Liza klunzingeri,Klunzingers mullet,demersal <30 cm,6,planiliza klunzingeri,manual fix
himantura gerrardi,no match,-9999,615483,Himantura gerrardi,Sharpnose stingray,rays >=90 cm,6,maculabatis gerrardi,manual fix
abudefduf luridus,no match,-9999,611820,Abudefduf luridus,Canary damsel,reef-associated <30 cm,6,similiparma lurida,manual fix
arius thalassinus,no match,-9999,610220,Arius thalassinus,Giant seacatfish,demersal >=90 cm,6,netuma thalassina,manual fix
lepidonotothen larseni,no match,-9999,607048,Lepidonotothen larseni,Lepidonotothen larseni,benthopelagic <30 cm,6,nototheniops larseni,manual fix
lepidonotothen nudifrons,no match,-9999,607047,Lepidonotothen nudifrons,Gaudy notothen,demersal <30 cm,6,lindbergichthys nudifrons,manual fix
lepidonotothen mizops,no match,-9999,607046,Lepidonotothen mizops,Toad notothen,benthopelagic <30 cm,6,lindbergichthys mizops,manual fix
dipturus linteus,no match,-9999,606422,Dipturus linteus,Sailray,rays >=90 cm,6,rajella lintea,manual fix
scolopsis taeniatus,no match,-9999,605889,Scolopsis taeniatus,Black-streaked monocle bream,reef-associated <30 cm,6,scolopsis taeniata,manual fix
valamugil seheli,no match,-9999,605659,Valamugil seheli,Bluespot mullet,reef-associated 30 - 90 cm,6,crenimugil seheli,manual fix
trigloporus lastoviza,no match,-9999,605081,Trigloporus lastoviza,Streaked gurnard,demersal 30 - 90 cm,6,chelidonichthys lastoviza,manual fix
mugil soiuy,no match,-9999,604791,Mugil soiuy,So-iuy mullet,demersal 30 - 90 cm,6,planiliza haematocheilus,manual fix
triglopsis quadricornis,no match,-9999,604122,Triglopsis quadricornis,Fourhorn sculpin,demersal 30 - 90 cm,6,myoxocephalus quadricornis,manual fix
pseudopentaceros richardsoni,no match,-9999,603611,Pseudopentaceros richardsoni,Pelagic armorhead,pelagic 30 - 90 cm,6,pentaceros richardsoni,manual fix
dasyatis centroura,no match,-9999,602572,Dasyatis centroura,Roughtail stingray,rays >=90 cm,6,bathytoshia centroura,manual fix
alectis alexandrinus,no match,-9999,601888,Alectis alexandrinus,African threadfish,pelagic 30 - 90 cm,6,alectis alexandrina,manual fix
liza saliens,no match,-9999,601736,Liza saliens,Leaping mullet,demersal 30 - 90 cm,6,chelon saliens,manual fix
liza aurata,no match,-9999,601735,Liza aurata,Golden grey mullet,pelagic 30 - 90 cm,6,chelon auratus,manual fix
psetta maxima,no match,-9999,601348,Psetta maxima,Turbot,flatfish >=90 cm,6,scophthalmus maximus,manual fix
epinephelus niveatus,no match,-9999,601208,Epinephelus niveatus,Snowy grouper,demersal >=90 cm,6,hyporthodus niveatus,manual fix
epinephelus nigritus,no match,-9999,601207,Epinephelus nigritus,Warsaw grouper,demersal >=90 cm,6,hyporthodus nigritus,manual fix
epinephelus mystacinus,no match,-9999,601206,Epinephelus mystacinus,Misty grouper,bathydemersal >=90 cm,6,hyporthodus mystacinus,manual fix
epinephelus flavolimbatus,no match,-9999,601205,Epinephelus flavolimbatus,Yellowedge grouper,demersal >=90 cm,6,hyporthodus flavolimbatus,manual fix
dasyatis akajei,no match,-9999,600940,Dasyatis akajei,Red stingray,rays >=90 cm,6,hemitrygon akajei,manual fix
centroselachus crepidater,no match,-9999,600663,Centroselachus crepidater,Longnose velvet dogfish,shark >=90 cm,6,centroscymnus crepidater,manual fix
sebastes marinus,no match,-9999,600501,Sebastes marinus,Ocean perch,benthopelagic >=90 cm,6,sebastes norvegicus,manual fix
pleuragramma antarcticum,no match,-9999,600472,Pleuragramma antarcticum,Antarctic silverfish,pelagic <30 cm,6,pleuragramma antarctica,manual fix
theragra chalcogramma,no match,-9999,600318,Theragra chalcogramma,Alaska pollack,benthopelagic >=90 cm,6,gadus chalcogrammus,manual fix
gadus ogac,no match,-9999,600309,Gadus ogac,Greenland cod,demersal 30 - 90 cm,6,gadus macrocephalus,manual fix
pterothrissus belloci,no match,-9999,600229,Pterothrissus belloci,Longfin bonefish,bathydemersal 30 - 90 cm,6,nemoossis belloci,manual fix
tetrapturus audax,no match,-9999,600223,Tetrapturus audax,Striped marlin,pelagic >=90 cm,6,kajikia audax,manual fix
tetrapturus albidus,no match,-9999,600219,Tetrapturus albidus,Atlantic white marlin,pelagic >=90 cm,6,kajikia albida,manual fix
makaira indica,no match,-9999,600217,Makaira indica,Black marlin,pelagic >=90 cm,6,istiompax indica,manual fix
rhinobatos planiceps,no match,-9999,600149,Rhinobatos planiceps,Pacific guitarfish,rays <90 cm,6,NA,already fixed elsewhere
rhinobatos percellens,no match,-9999,600140,Rhinobatos percellens,Chola guitarfish,rays >=90 cm,6,NA,already fixed elsewhere
spisula ovalis,no match,-9999,690631,Spisula ovalis,Venus clam,demersal mollusc,6,spisula solida,manual fix
pandalus kessleri,no match,-9999,690618,Pandalus kessleri,Grass shrimp,shrimp,6,pandalus latirostris,manual fix
pandalopsis japonica,no match,-9999,690615,Pandalopsis japonica,Sidestripe shrimp,shrimp,6,pandalus japonicus,manual fix
megabalanus psittacus,no match,-9999,690613,Megabalanus psittacus,Giant barnacle,demersal mollusc,6,austromegabalanus psittacus,manual fix
pecten yessoensis,no match,-9999,690445,Pecten yessoensis,Yesso scallop,demersal mollusc,6,mizuhopecten yessoensis,manual fix
farfantepenaeus californiensis,no match,-9999,690444,Farfantepenaeus californiensis,Yellowleg shrimp,shrimp,6,penaeus californiensis,manual fix
litopenaeus vannamei,no match,-9999,690440,Litopenaeus vannamei,Whiteleg shrimp,shrimp,6,penaeus vannamei,manual fix
litopenaeus occidentalis,no match,-9999,690433,Litopenaeus occidentalis,Western white shrimp,shrimp,6,penaeus occidentalis,manual fix
melicertus latisulcatus,no match,-9999,690432,Melicertus latisulcatus,Western king prawn,shrimp,6,penaeus latisulcatus,manual fix
chlamys varia,no match,-9999,690423,Chlamys varia,Variegated scallop,demersal mollusc,6,mimachlamys varia,manual fix
protothaca thaca,no match,-9999,690411,Protothaca thaca,Taca clam,demersal mollusc,6,leukoma thaca,manual fix
venus gallina,no match,-9999,690404,Venus (=Chamelea) gallina,Striped venus,demersal mollusc,6,chamelea gallina,manual fix
lithodes maia,no match,-9999,690399,Lithodes maia,Stone king crab,lobsters crab,6,lithodes maja,manual fix
farfantepenaeus notialis,no match,-9999,690378,Farfantepenaeus notialis,Southern pink shrimp,shrimp,6,penaeus notialis,manual fix
lithodes antarcticus,no match,-9999,690377,Lithodes antarcticus,Southern king crab,lobsters crab,6,lithodes santolla,manual fix
crassostrea iredalei,no match,-9999,690364,Crassostrea iredalei,Slipper cupped oyster,demersal mollusc,6,magallana bilineata,manual fix
plesiopenaeus edwardsianus,no match,-9999,690343,Plesiopenaeus edwardsianus,Scarlet shrimp,shrimp,6,aristaeopsis edwardsiana,manual fix
farfantepenaeus paulensis,no match,-9999,690338,Farfantepenaeus paulensis,Sao Paulo shrimp,shrimp,6,penaeus paulensis,manual fix
farfantepenaeus brasiliensis,no match,-9999,690327,Farfantepenaeus brasiliensis,Redspotted shrimp,shrimp,6,penaeus brasiliensis,manual fix
tapes pullastra,no match,-9999,690309,Tapes pullastra,Pullet carpet shell,demersal mollusc,6,venerupis corrugata,manual fix
loligo opalescens,NA,NA,690658,Loligo opalescens,California market squid,cephalopods,6,doryteuthis opalescens,manual fix
zidona dufresnei,NA,NA,690674,Zidona dufresnei,Angulate volute,demersal mollusc,6,zidona dufresnii,manual fix
tapes rhomboides,NA,NA,690675,Tapes rhomboides,Banded carpet shell,demersal mollusc,6,polititapes rhomboides,manual fix
chlamys delicatula,NA,NA,690679,Chlamys delicatula,Delicate scallop,demersal mollusc,6,zygochlamys delicatula,manual fix
tawera gayi,NA,NA,690682,Tawera gayi,Gay's little venus,demersal mollusc,6,tawera elliptica,NA
chione stutchburyi,NA,NA,690692,Chione stutchburyi,Stutchbury's venus,demersal mollusc,6,austrovenus stutchburyi,manual fix
jasus novaehollandiae,NA,NA,690696,Jasus novaehollandiae,Southern rock lobster,lobsters crab,6,jasus edwardsii,manual fix
