spp,stockid,year,overfished,overfishing
anarhichas lupus,awolf5yz,2015,TRUE,FALSE
anarhichas lupus,awolf5yz,2016,TRUE,FALSE
anoplopoma fimbria,sablefebsaiga,2015,TRUE,NA
anoplopoma fimbria,sablefebsaiga,2016,TRUE,NA
anoplopoma fimbria,sablefebsaiga,2017,TRUE,NA
anoplopoma fimbria,sablefpcoast,2015,TRUE,NA
arctica islandica,quahatlc,2015,FALSE,FALSE
arctica islandica,quahatlc,2016,FALSE,FALSE
atheresthes evermanni,kmflounbsai,2015,FALSE,NA
atheresthes evermanni,kmflounbsai,2016,FALSE,NA
atheresthes evermanni,kmflounbsai,2017,FALSE,NA
atheresthes stomias,arfloundbsai,2015,FALSE,NA
atheresthes stomias,arfloundbsai,2016,FALSE,NA
atheresthes stomias,arfloundbsai,2017,FALSE,NA
atheresthes stomias,arfloundga,2015,FALSE,NA
atheresthes stomias,arfloundga,2016,FALSE,NA
atheresthes stomias,arfloundga,2017,FALSE,NA
atheresthes stomias,arfloundpcoast,2015,FALSE,FALSE
atheresthes stomias,arfloundpcoast,2016,FALSE,FALSE
atheresthes stomias,arfloundpcoast,2017,FALSE,NA
austroglossus pectoralis,ecsolesasc,2015,FALSE,FALSE
austroglossus pectoralis,ecsolesasc,2016,FALSE,FALSE
austroglossus pectoralis,ecsolesasc,2017,FALSE,FALSE
bathyraja parmifera,alskabsai,2015,FALSE,NA
bathyraja parmifera,alskabsai,2016,FALSE,NA
brevoortia patronus,menatgm,2015,FALSE,FALSE
brevoortia patronus,menatgm,2016,FALSE,FALSE
brevoortia patronus,menatgm,2017,FALSE,FALSE
brevoortia tyrannus,menatlan,2015,TRUE,FALSE
brevoortia tyrannus,menatlan,2016,TRUE,FALSE
brosme brosme,cuskva-xiv,2015,FALSE,TRUE
brosme brosme,cuskva-xiv,2016,FALSE,FALSE
brosme brosme,cuskva-xiv,2017,FALSE,FALSE
capros aper,boarvi-viii,2015,FALSE,FALSE
capros aper,boarvi-viii,2016,FALSE,FALSE
capros aper,boarvi-viii,2017,FALSE,NA
carcharhinus plumbeus,sbarsharatl,2015,FALSE,FALSE
caulolatilus microps,bltilesatlc,2015,FALSE,FALSE
centroberyx affinis,redfeaus,2015,TRUE,FALSE
centroberyx affinis,redfeaus,2016,TRUE,FALSE
centropristis striata,bsbassmatlc,2015,TRUE,FALSE
centropristis striata,bsbasssatl,2015,TRUE,FALSE
centropristis striata,bsbasssatl,2016,TRUE,FALSE
cervimunida johni,bsqlobstercsch,2015,FALSE,FALSE
cervimunida johni,bsqlobsternch,2015,FALSE,FALSE
chionoecetes opilio,snowcrabbs,2015,FALSE,NA
chionoecetes opilio,snowcrabbs,2016,TRUE,NA
chionoecetes opilio,snowcrabwsj,2015,FALSE,NA
clupea harengus,herr2224iiia,2015,TRUE,TRUE
clupea harengus,herr2224iiia,2016,TRUE,TRUE
clupea harengus,herr2224iiia,2017,TRUE,TRUE
clupea harengus,herr2529-32,2015,FALSE,FALSE
clupea harengus,herr2529-32,2016,FALSE,TRUE
clupea harengus,herr2529-32,2017,FALSE,TRUE
clupea harengus,herr30-31,2015,FALSE,TRUE
clupea harengus,herr30-31,2016,FALSE,TRUE
clupea harengus,herr30-31,2017,FALSE,TRUE
clupea harengus,herr4rfa,2015,FALSE,NA
clupea harengus,herr4rfa,2016,FALSE,NA
clupea harengus,herr4rfa,2017,FALSE,NA
clupea harengus,herr4rsp,2015,TRUE,NA
clupea harengus,herr4rsp,2016,TRUE,NA
clupea harengus,herr4rsp,2017,TRUE,NA
clupea harengus,herr4tfa,2015,TRUE,TRUE
clupea harengus,herr4tfa,2016,TRUE,FALSE
clupea harengus,herr4tfa,2017,TRUE,TRUE
clupea harengus,herr4tsp,2015,TRUE,FALSE
clupea harengus,herr4tsp,2016,TRUE,FALSE
clupea harengus,herr4tsp,2017,TRUE,FALSE
clupea harengus,herrisum,2015,FALSE,FALSE
clupea harengus,herrisum,2016,FALSE,TRUE
clupea harengus,herrisum,2017,FALSE,FALSE
clupea harengus,herrnirs,2015,FALSE,FALSE
clupea harengus,herrnirs,2016,FALSE,FALSE
clupea harengus,herrnirs,2017,FALSE,FALSE
clupea harengus,herrnorss,2015,FALSE,FALSE
clupea harengus,herrnorss,2016,FALSE,FALSE
clupea harengus,herrnorss,2017,FALSE,TRUE
clupea harengus,herrns-iiia-viid,2015,FALSE,FALSE
clupea harengus,herrns-iiia-viid,2016,FALSE,FALSE
clupea harengus,herrns-iiia-viid,2017,FALSE,FALSE
clupea harengus,herrriga,2015,FALSE,TRUE
clupea harengus,herrriga,2016,FALSE,TRUE
clupea harengus,herrriga,2017,FALSE,TRUE
clupea harengus,herrsirs,2015,FALSE,FALSE
clupea harengus,herrsirs,2016,FALSE,TRUE
clupea harengus,herrsirs,2017,TRUE,TRUE
clupea harengus,herrviaviibc,2015,TRUE,FALSE
clupea harengus,herrviaviibc,2016,TRUE,FALSE
clupea harengus,herrviaviibc,2017,TRUE,FALSE
cololabis saira,saurnwpac,2015,FALSE,FALSE
cololabis saira,saurnwpac,2016,TRUE,FALSE
cololabis saira,saurnwpac,2017,TRUE,FALSE
coryphaenoides rupestris,rngenvb-vi-vii-xiib,2015,TRUE,FALSE
dicentrarchus labrax,ebassivbc-vii,2015,TRUE,TRUE
dicentrarchus labrax,ebassivbc-vii,2016,TRUE,FALSE
dicentrarchus labrax,ebassivbc-vii,2017,TRUE,FALSE
dicentrarchus labrax,ebassviiiab,2015,FALSE,FALSE
dicentrarchus labrax,ebassviiiab,2016,FALSE,FALSE
dicentrarchus labrax,ebassviiiab,2017,FALSE,FALSE
dissostichus eleginoides,ptoothfishch,2015,TRUE,FALSE
dissostichus eleginoides,ptoothfishch,2016,TRUE,FALSE
dissostichus eleginoides,ptoothfishch,2017,TRUE,FALSE
dissostichus eleginoides,ptoothfishpei,2015,FALSE,FALSE
engraulis anchoita,arganchonarg,2015,FALSE,FALSE
engraulis anchoita,arganchonarg,2016,TRUE,FALSE
engraulis anchoita,arganchonarg,2017,TRUE,FALSE
engraulis anchoita,arganchosarg,2015,FALSE,FALSE
engraulis anchoita,arganchosarg,2016,FALSE,FALSE
engraulis anchoita,arganchosarg,2017,FALSE,FALSE
engraulis encrasicolus,anchmedgsa6,2015,FALSE,FALSE
engraulis encrasicolus,anchobayb,2015,FALSE,NA
engraulis encrasicolus,anchobayb,2016,FALSE,NA
engraulis encrasicolus,anchobayb,2017,FALSE,NA
engraulis encrasicolus,anchocwaciv-ben,2017,FALSE,FALSE
engraulis encrasicolus,anchocwagab-ago,2017,FALSE,FALSE
engraulis japonicus,janchoseto,2015,FALSE,FALSE
engraulis japonicus,janchoseto,2016,FALSE,FALSE
engraulis japonicus,janchoseto,2017,FALSE,FALSE
engraulis japonicus,janchotsst,2015,TRUE,TRUE
engraulis japonicus,janchotsst,2016,TRUE,TRUE
engraulis japonicus,janchotsst,2017,TRUE,TRUE
engraulis ringens,panchcch,2015,TRUE,TRUE
engraulis ringens,panchcch,2016,TRUE,FALSE
engraulis ringens,panchcch,2017,FALSE,FALSE
engraulis ringens,panchcsch,2015,TRUE,TRUE
engraulis ringens,panchcsch,2016,TRUE,TRUE
engraulis ringens,panchcsch,2017,TRUE,FALSE
engraulis ringens,panchnchsp,2015,TRUE,TRUE
engraulis ringens,panchnchsp,2016,TRUE,TRUE
engraulis ringens,panchnchsp,2017,FALSE,FALSE
engraulis ringens,panchperunc,2015,FALSE,NA
eopsetta jordani,psolepcoast,2015,FALSE,NA
epinephelus morio,rgroupsatl,2015,FALSE,TRUE
ethmalosa fimbriata,bongacwagab-cod,2017,FALSE,FALSE
etrumeus teres,rherrtsst,2015,FALSE,FALSE
etrumeus teres,rherrtsst,2016,FALSE,TRUE
etrumeus teres,rherrtsst,2017,TRUE,TRUE
gadus macrocephalus,pcod5abcd,2015,TRUE,NA
gadus macrocephalus,pcod5abcd,2016,TRUE,NA
gadus macrocephalus,pcod5abcd,2017,TRUE,NA
gadus macrocephalus,pcodbs,2015,FALSE,NA
gadus macrocephalus,pcodbs,2016,FALSE,NA
gadus macrocephalus,pcodbs,2017,FALSE,NA
gadus macrocephalus,pcodga,2015,FALSE,FALSE
gadus macrocephalus,pcodga,2016,FALSE,NA
gadus macrocephalus,pcodga,2017,TRUE,NA
gadus macrocephalus,pcodwcvani,2015,TRUE,NA
gadus macrocephalus,pcodwcvani,2016,FALSE,NA
gadus macrocephalus,pcodwcvani,2017,TRUE,NA
gadus morhua,cod1f-xiv,2015,FALSE,FALSE
gadus morhua,cod1f-xiv,2016,FALSE,FALSE
gadus morhua,cod1f-xiv,2017,FALSE,FALSE
gadus morhua,cod1in,2015,FALSE,TRUE
gadus morhua,cod1in,2016,FALSE,TRUE
gadus morhua,cod1in,2017,FALSE,TRUE
gadus morhua,cod3pn4rs,2015,TRUE,NA
gadus morhua,cod3pn4rs,2016,TRUE,NA
gadus morhua,cod3pn4rs,2017,TRUE,NA
gadus morhua,cod4x5yb,2015,TRUE,NA
gadus morhua,cod4x5yb,2016,TRUE,NA
gadus morhua,cod4x5yb,2017,TRUE,NA
gadus morhua,codba2224,2015,TRUE,TRUE
gadus morhua,codba2224,2016,TRUE,TRUE
gadus morhua,codba2224,2017,TRUE,TRUE
gadus morhua,codfapl,2015,TRUE,TRUE
gadus morhua,codfapl,2016,TRUE,TRUE
gadus morhua,codfapl,2017,TRUE,TRUE
gadus morhua,codice,2015,FALSE,FALSE
gadus morhua,codice,2016,FALSE,FALSE
gadus morhua,codice,2017,FALSE,FALSE
gadus morhua,codiiiaw-iv-viid,2015,TRUE,TRUE
gadus morhua,codiiiaw-iv-viid,2016,TRUE,TRUE
gadus morhua,codiiiaw-iv-viid,2017,TRUE,TRUE
gadus morhua,codis,2015,TRUE,TRUE
gadus morhua,codis,2016,TRUE,FALSE
gadus morhua,codis,2017,FALSE,NA
gadus morhua,codnear,2015,FALSE,FALSE
gadus morhua,codnear,2016,FALSE,FALSE
gadus morhua,codnear,2017,FALSE,TRUE
gadus morhua,codnearncw,2015,TRUE,TRUE
gadus morhua,codnearncw,2016,TRUE,NA
gadus morhua,codvia,2015,TRUE,TRUE
gadus morhua,codvia,2016,TRUE,TRUE
gadus morhua,codvia,2017,TRUE,TRUE
gadus morhua,codviiek,2015,TRUE,TRUE
gadus morhua,codviiek,2016,TRUE,TRUE
gadus morhua,codviiek,2017,TRUE,TRUE
genypterus blacodes,pceelcsch,2015,TRUE,FALSE
genypterus blacodes,pceelcsch,2016,TRUE,FALSE
genypterus blacodes,pceelcsch,2017,TRUE,FALSE
genypterus blacodes,pceelsch,2015,TRUE,TRUE
genypterus blacodes,pceelsch,2016,TRUE,FALSE
genypterus blacodes,pceelsch,2017,TRUE,FALSE
glyptocephalus cynoglossus,witfloun4rst,2015,TRUE,FALSE
glyptocephalus cynoglossus,witfloun4rst,2016,TRUE,FALSE
glyptocephalus zachirus,rexsolega,2015,FALSE,FALSE
glyptocephalus zachirus,rexsolega,2016,FALSE,FALSE
glyptocephalus zachirus,rexsolega,2017,FALSE,NA
haliotis iris,pauapau7,2015,TRUE,TRUE
haliotis midae,saabalonesa,2015,TRUE,NA
heterocarpus reedi,nshrimpcsch,2015,FALSE,FALSE
heterocarpus reedi,nshrimpcsch,2016,FALSE,FALSE
heterocarpus reedi,nshrimpnch,2015,FALSE,FALSE
heterocarpus reedi,nshrimpnch,2016,FALSE,FALSE
hippoglossoides elassodon,flsolebsai,2015,FALSE,NA
hippoglossoides elassodon,flsolebsai,2016,FALSE,NA
hippoglossoides elassodon,flsolebsai,2017,FALSE,NA
hippoglossoides elassodon,flsolega,2015,FALSE,NA
hippoglossoides elassodon,flsolega,2016,FALSE,NA
hippoglossoides elassodon,flsolega,2017,FALSE,NA
hippoglossoides platessoides,ampl5yz,2015,TRUE,FALSE
hippoglossoides platessoides,ampl5yz,2016,TRUE,FALSE
jasus edwardsii,rrocklobstercra7,2015,FALSE,NA
jasus edwardsii,rrocklobstercra8,2015,FALSE,NA
katsuwonus pelamis,skjcio,2015,TRUE,FALSE
katsuwonus pelamis,skjcio,2016,FALSE,FALSE
katsuwonus pelamis,skjcwpac,2015,FALSE,FALSE
lepidopsetta bilineata,rsolega,2015,FALSE,NA
lepidopsetta bilineata,rsolega,2016,FALSE,NA
lepidopsetta polyxystra,nrsoleebsai,2015,FALSE,NA
lepidopsetta polyxystra,nrsoleebsai,2016,FALSE,NA
lepidopsetta polyxystra,nrsoleebsai,2017,FALSE,NA
lepidopsetta polyxystra,nrsolega,2015,FALSE,NA
lepidopsetta polyxystra,nrsolega,2016,FALSE,NA
lepidopsetta polyxystra,nrsolega,2017,FALSE,NA
lepidorhombus boscii,fmeg8c9a,2015,FALSE,TRUE
lepidorhombus boscii,fmeg8c9a,2016,FALSE,TRUE
lepidorhombus boscii,fmeg8c9a,2017,FALSE,FALSE
lepidorhombus whiffiagonis,meg8c9a,2015,FALSE,TRUE
lepidorhombus whiffiagonis,meg8c9a,2016,FALSE,TRUE
lepidorhombus whiffiagonis,meg8c9a,2017,FALSE,FALSE
lepidorhombus whiffiagonis,megvii-viiiabd,2015,FALSE,TRUE
lepidorhombus whiffiagonis,megvii-viiiabd,2016,FALSE,TRUE
lepidorhombus whiffiagonis,megvii-viiiabd,2017,FALSE,TRUE
limanda aspera,ysolebsai,2015,FALSE,NA
limanda aspera,ysolebsai,2016,FALSE,NA
limanda aspera,ysolebsai,2017,FALSE,NA
limanda ferruginea,yell3lno,2015,FALSE,FALSE
limanda ferruginea,yellccodgom,2015,TRUE,FALSE
limanda ferruginea,yellccodgom,2016,TRUE,TRUE
limanda ferruginea,yellsnematl,2015,TRUE,TRUE
limanda ferruginea,yellsnematl,2016,TRUE,TRUE
lithodes aequispinus,gkcrabaies,2015,FALSE,NA
lithodes aequispinus,gkcrabaies,2016,FALSE,NA
lithodes aequispinus,gkcrabaies,2017,FALSE,NA
lithodes aequispinus,gkcrabaiws,2015,FALSE,NA
lithodes aequispinus,gkcrabaiws,2016,FALSE,NA
lithodes aequispinus,gkcrabaiws,2017,FALSE,NA
lophius budegassa,anglviiic-ixa,2015,FALSE,FALSE
lophius budegassa,anglviiic-ixa,2016,FALSE,FALSE
lophius budegassa,anglviiic-ixa,2017,FALSE,FALSE
lophius piscatorius,wanglvii-viiiabd,2015,FALSE,TRUE
lophius piscatorius,wanglvii-viiiabd,2016,FALSE,TRUE
lophius piscatorius,wanglvii-viiiabd,2017,FALSE,TRUE
lophius piscatorius,wanglviiic-ixa,2015,FALSE,FALSE
lophius piscatorius,wanglviiic-ixa,2016,FALSE,FALSE
lophius piscatorius,wanglviiic-ixa,2017,FALSE,FALSE
lopholatilus chamaeleonticeps,tilematlc,2015,TRUE,FALSE
lopholatilus chamaeleonticeps,tilematlc,2016,TRUE,FALSE
lutjanus campechanus,rsnapgm,2015,TRUE,FALSE
lutjanus campechanus,rsnapgm,2016,TRUE,FALSE
lutjanus griseus,grsnapgm,2015,TRUE,TRUE
macruronus magellanicus,patgrenadierch,2015,TRUE,TRUE
macruronus magellanicus,patgrenadierch,2016,TRUE,TRUE
macruronus magellanicus,patgrenadierch,2017,TRUE,TRUE
macruronus magellanicus,patgrenadiersarg,2015,TRUE,FALSE
macruronus magellanicus,patgrenadiersarg,2016,TRUE,FALSE
macruronus magellanicus,patgrenadiersarg,2017,TRUE,FALSE
macruronus novaezelandiae,bgrdrnswwa,2015,FALSE,FALSE
macruronus novaezelandiae,bgrdrnswwa,2016,FALSE,FALSE
macruronus novaezelandiae,bgrdrnswwa,2017,FALSE,FALSE
macruronus novaezelandiae,hokienz,2015,FALSE,FALSE
macruronus novaezelandiae,hokiwnz,2015,FALSE,FALSE
mallotus villosus,capeiia-v-xiv,2016,FALSE,NA
mallotus villosus,capeiia-v-xiv,2017,FALSE,NA
melanogrammus aeglefinus,had5y,2015,FALSE,FALSE
melanogrammus aeglefinus,had5y,2016,FALSE,FALSE
melanogrammus aeglefinus,hadfapl,2015,TRUE,TRUE
melanogrammus aeglefinus,hadfapl,2016,TRUE,TRUE
melanogrammus aeglefinus,hadfapl,2017,TRUE,TRUE
melanogrammus aeglefinus,hadgb,2015,FALSE,FALSE
melanogrammus aeglefinus,hadgb,2016,FALSE,FALSE
melanogrammus aeglefinus,hadice,2015,FALSE,FALSE
melanogrammus aeglefinus,hadice,2016,FALSE,FALSE
melanogrammus aeglefinus,hadice,2017,FALSE,TRUE
melanogrammus aeglefinus,hadis,2015,FALSE,FALSE
melanogrammus aeglefinus,hadis,2016,FALSE,FALSE
melanogrammus aeglefinus,hadis,2017,FALSE,FALSE
melanogrammus aeglefinus,hadnear,2015,FALSE,FALSE
melanogrammus aeglefinus,hadnear,2016,FALSE,FALSE
melanogrammus aeglefinus,hadnear,2017,FALSE,TRUE
melanogrammus aeglefinus,hadns-iiia-via,2015,FALSE,TRUE
melanogrammus aeglefinus,hadns-iiia-via,2016,TRUE,TRUE
melanogrammus aeglefinus,hadns-iiia-via,2017,FALSE,TRUE
melanogrammus aeglefinus,hadrock,2015,FALSE,TRUE
melanogrammus aeglefinus,hadrock,2016,FALSE,FALSE
melanogrammus aeglefinus,hadrock,2017,FALSE,TRUE
melanogrammus aeglefinus,hadviib-k,2015,FALSE,TRUE
melanogrammus aeglefinus,hadviib-k,2016,FALSE,TRUE
melanogrammus aeglefinus,hadviib-k,2017,FALSE,TRUE
merlangius merlangus,whitns-viid,2015,TRUE,TRUE
merlangius merlangus,whitns-viid,2016,FALSE,TRUE
merlangius merlangus,whitns-viid,2017,FALSE,TRUE
merlangius merlangus,whitvia,2015,TRUE,FALSE
merlangius merlangus,whitvia,2016,TRUE,FALSE
merlangius merlangus,whitvia,2017,TRUE,FALSE
merlangius merlangus,whitviia,2015,TRUE,TRUE
merlangius merlangus,whitviia,2016,TRUE,TRUE
merlangius merlangus,whitviia,2017,TRUE,TRUE
merlangius merlangus,whitviibce-k,2015,FALSE,FALSE
merlangius merlangus,whitviibce-k,2016,FALSE,FALSE
merlangius merlangus,whitviibce-k,2017,FALSE,TRUE
merluccius australis,southhakech,2015,TRUE,FALSE
merluccius australis,southhakech,2016,TRUE,TRUE
merluccius australis,southhakech,2017,TRUE,FALSE
merluccius bilinearis,shake4vwx,2015,FALSE,FALSE
merluccius capensis,chakesa,2015,FALSE,FALSE
merluccius hubbsi,arghakenarg,2015,TRUE,TRUE
merluccius hubbsi,arghakenarg,2016,TRUE,TRUE
merluccius hubbsi,arghakenarg,2017,TRUE,TRUE
merluccius hubbsi,arghakesarg,2015,TRUE,TRUE
merluccius hubbsi,arghakesarg,2016,TRUE,TRUE
merluccius hubbsi,arghakesarg,2017,TRUE,TRUE
merluccius merluccius,hakenrtn,2015,FALSE,FALSE
merluccius merluccius,hakenrtn,2016,FALSE,FALSE
merluccius merluccius,hakenrtn,2017,FALSE,FALSE
merluccius merluccius,hakesoth,2015,FALSE,TRUE
merluccius merluccius,hakesoth,2016,FALSE,TRUE
merluccius merluccius,hakesoth,2017,FALSE,TRUE
merluccius paradoxus,deepchakesa,2015,TRUE,TRUE
merluccius productus,phakepcoast,2015,FALSE,FALSE
merluccius productus,phakepcoast,2016,FALSE,FALSE
merluccius productus,phakepcoast,2017,FALSE,TRUE
micromesistius australis,sbwhitargs,2015,TRUE,FALSE
micromesistius australis,sbwhitargs,2016,TRUE,FALSE
micromesistius australis,sbwhitargs,2017,TRUE,FALSE
micromesistius australis,sbwhitch,2015,TRUE,TRUE
micromesistius australis,sbwhitch,2016,TRUE,TRUE
micromesistius australis,sbwhitch,2017,TRUE,TRUE
micromesistius poutassou,bwhitnea,2015,FALSE,TRUE
micromesistius poutassou,bwhitnea,2016,FALSE,TRUE
micromesistius poutassou,bwhitnea,2017,FALSE,TRUE
microstomus pacificus,dsolega,2015,FALSE,NA
microstomus pacificus,dsolega,2016,FALSE,NA
molva dypterygia,blingvb-vi-vii,2015,FALSE,FALSE
molva dypterygia,blingvb-vi-vii,2016,FALSE,FALSE
molva dypterygia,blingvb-vi-vii,2017,FALSE,FALSE
molva molva,lingva,2015,FALSE,TRUE
molva molva,lingva,2016,FALSE,TRUE
molva molva,lingva,2017,FALSE,TRUE
nemadactylus macropterus,morwongese,2015,TRUE,TRUE
nemadactylus macropterus,morwongese,2016,TRUE,TRUE
nemadactylus macropterus,morwongese,2017,FALSE,TRUE
nemadactylus macropterus,morwongwse,2015,FALSE,FALSE
nemadactylus macropterus,morwongwse,2016,FALSE,FALSE
nemadactylus macropterus,morwongwse,2017,FALSE,FALSE
nephrops norvegicus,nephfu14,2015,FALSE,FALSE
nephrops norvegicus,nephfu17,2015,FALSE,FALSE
nephrops norvegicus,nephfu17,2016,TRUE,TRUE
nephrops norvegicus,nephfu7,2015,TRUE,FALSE
